depth (ft),DTC (us/ft),DTS (us/ft)
6011,47.8091,91.36
6011.5,48.3803,89.9459
6012,48.4339,88.8276
6012.5,48.7982,89.1535
6013,48.8473,89.1882
6013.5,49.0903,88.4082
6014,48.8238,87.0853
6014.5,47.6843,87.8549
6015,47.3157,88.1084
6015.5,46.5453,86.0347
6016,46.2975,88.9175
6016.5,46.7192,89.5976
6017,46.9821,90.4
6017.5,47.5495,90.2438
6018,47.7417,90.9698
6018.5,47.7372,91.7
6019,47.7832,91.8832
6019.5,47.7206,92.392
6020,47.5658,90.0131
6020.5,47.6989,90.3626
6021,47.6032,91.493
6021.5,47.7351,92.1137
6022,47.6027,91.9684
6022.5,47.525,91.794
6023,47.5272,91.0026
6023.5,47.5164,92.9199
6024,47.4355,92.1555
6024.5,47.4251,92.5242
6025,47.373,92.7353
6025.5,47.487,91.2545
6026,47.4302,93.1473
6026.5,47.5849,91.7372
6027,47.6153,92.2134
6027.5,47.6212,92.0347
6028,47.7385,91.0342
6028.5,47.6377,89.5241
6029,46.7894,89.2114
6029.5,46.8908,89.3574
6030,46.4219,89.7431
6030.5,46.5347,89.5064
6031,46.1462,86.3753
6031.5,46.2743,90.1814
6032,46.7298,91.7669
6032.5,47.4509,90.5046
6033,47.5799,90.5046
6033.5,47.6427,90.2344
6034,47.6678,90.5586
6034.5,47.6729,94.0265
6035,47.6432,92.2132
6035.5,47.6494,95.5684
6036,47.7047,91.206
6036.5,47.7214,94.4999
6037,47.7605,92.2168
6037.5,47.8276,91.6299
6038,47.8725,92.6407
6038.5,47.8639,92.5138
6039,47.8276,92.4995
6039.5,47.7927,95.6184
6040,47.7346,94.5746
6040.5,47.7241,90.8449
6041,47.6994,94.5836
6041.5,47.6596,91.636
6042,47.761,95.3677
6042.5,47.9828,94.1734
6043,47.89,95.6053
6043.5,48.181,91.4424
6044,48.047,95.3286
6044.5,48.1735,92.9078
6045,48.2663,96.0335
6045.5,48.391,97.0085
6046,48.1411,94.7625
6046.5,47.9624,94.4769
6047,48.0468,95.2718
6047.5,47.9754,95.0759
6048,47.9488,94.5404
6048.5,47.7826,95.0869
6049,47.7364,94.8176
6049.5,47.6722,95.5739
6050,47.7583,93.8279
6050.5,47.6513,93.6537
6051,47.6506,93.9784
6051.5,47.6237,93.465
6052,47.7693,91.4473
6052.5,47.9032,91.252
6053,48.0259,91.4465
6053.5,47.8528,89.6736
6054,47.6687,92.0346
6054.5,46.8019,89.3685
6055,46.3117,91.0893
6055.5,46.1445,89.9114
6056,46.1696,92.34
6056.5,46.1094,90.5335
6057,46.7852,92.0117
6057.5,46.7725,92.3135
6058,47.0912,91.1874
6058.5,47.3951,93.5007
6059,47.4946,92.2673
6059.5,47.4883,91.8019
6060,47.3173,91.0607
6060.5,47.2596,89.5473
6061,47.221,90.9772
6061.5,46.7916,91.0126
6062,46.7712,90.9754
6062.5,46.6379,90.7689
6063,46.7519,91.0233
6063.5,47.0898,90.9703
6064,47.0691,92.4282
6064.5,47.3962,91.7667
6065,47.4708,91.911
6065.5,47.4411,90.9048
6066,47.3951,91.7425
6066.5,47.2943,91.6784
6067,47.3845,90.9529
6067.5,47.2934,90.5027
6068,47.4841,90.8251
6068.5,47.6479,91.4284
6069,47.5193,91.287
6069.5,47.4918,91.8143
6070,47.4508,91.3144
6070.5,47.3977,90.7376
6071,46.9109,92.0949
6071.5,46.826,91.9051
6072,46.8356,91.8963
6072.5,46.925,91.0065
6073,47.3488,90.5417
6073.5,47.4544,90.8371
6074,47.5266,90.9993
6074.5,47.5971,91.7339
6075,47.6223,90.6534
6075.5,47.5261,91.9769
6076,47.4786,91.7977
6076.5,47.6033,91.5829
6077,47.6134,92.4582
6077.5,47.6582,91.7993
6078,47.6627,92.1593
6078.5,47.7687,91.9219
6079,47.7657,91.7433
6079.5,47.6988,90.6612
6080,47.7781,92.2588
6080.5,47.7809,92.2588
6081,47.7596,92.4686
6081.5,47.8166,92.437
6082,47.7607,92.7332
6082.5,47.7951,92.6854
6083,47.7656,91.6222
6083.5,47.8365,92.0685
6084,48.0453,91.7106
6084.5,47.9328,90.8352
6085,47.9622,92.7743
6085.5,47.9083,92.2574
6086,47.8883,91.0504
6086.5,47.8593,92.0154
6087,47.6687,92.4997
6087.5,47.8803,92.7436
6088,47.4661,92.3002
6088.5,47.8791,91.5527
6089,47.9329,91.7494
6089.5,47.8388,91.8087
6090,47.7945,92.3032
6090.5,47.7589,92.3252
6091,47.7595,92.8476
6091.5,47.6755,93.0705
6092,47.712,90.5822
6092.5,47.844,90.5822
6093,47.9609,92.64
6093.5,48.0568,92.0777
6094,48.1789,92.2081
6094.5,48.27,92.5011
6095,48.2941,92.1507
6095.5,48.1838,92.4359
6096,48.2042,92.1578
6096.5,48.4338,92.5915
6097,48.3028,92.1606
6097.5,48.2177,91.9091
6098,48.0654,91.9251
6098.5,47.9881,91.3589
6099,48.0406,92.7388
6099.5,47.7703,92.679
6100,47.8134,91.918
6100.5,47.8293,91.9726
6101,47.957,91.9487
6101.5,47.914,91.7708
6102,47.8242,92.3815
6102.5,47.8552,92.2218
6103,47.7746,91.1008
6103.5,47.942,91.5774
6104,48.0454,91.8124
6104.5,48.185,91.2736
6105,48.2075,91.8379
6105.5,48.0975,92.3309
6106,47.8599,92.9547
6106.5,47.9733,92.7968
6107,48.0064,92.5529
6107.5,47.9984,92.9306
6108,47.9581,92.975
6108.5,47.8051,92.7294
6109,47.743,92.9431
6109.5,47.7965,92.6087
6110,47.7336,92.7079
6110.5,47.7519,90.8093
6111,47.7138,90.6524
6111.5,47.703,93.7538
6112,47.6886,91.2523
6112.5,47.6324,93.2012
6113,47.6176,94.2874
6113.5,47.7472,92.4351
6114,47.8464,94.3712
6114.5,47.9237,93.4548
6115,48.1147,93.4915
6115.5,47.991,92.9127
6116,48.0056,93.7629
6116.5,47.8767,93.4903
6117,47.8058,92.597
6117.5,47.7945,92.4244
6118,47.8879,92.6581
6118.5,48.1801,94.7176
6119,48.4563,94.4596
6119.5,48.2172,91.8342
6120,48.25,94.6131
6120.5,48.201,94.14
6121,48.0842,92.5766
6121.5,47.9824,92.8809
6122,47.702,92.7903
6122.5,47.5711,89.5138
6123,47.5036,92.0026
6123.5,47.5574,92.3381
6124,47.7242,93.1133
6124.5,47.7297,92.6563
6125,47.8173,93.2142
6125.5,47.8915,94.9097
6126,47.8206,94.9097
6126.5,47.717,91.6084
6127,47.7084,94.3613
6127.5,47.6874,90.3991
6128,47.7513,93.2583
6128.5,47.7408,91.6902
6129,47.7923,92.5736
6129.5,47.791,90.0982
6130,47.7532,89.8149
6130.5,47.4794,91.4271
6131,47.4489,90.1433
6131.5,47.2972,91.8448
6132,46.552,91.0295
6132.5,46.4875,92.4243
6133,46.5811,93.9983
6133.5,47.3205,91.1789
6134,47.4054,93.737
6134.5,47.608,93.1906
6135,47.7136,92.9433
6135.5,47.6904,93.7342
6136,47.7754,93.3233
6136.5,47.7644,91.1377
6137,47.7923,94.7924
6137.5,47.7818,94.3722
6138,47.7806,94.6202
6138.5,47.8329,94.1042
6139,47.8226,93.3197
6139.5,47.7528,93.6128
6140,47.7019,93.0299
6140.5,47.5676,93.254
6141,47.5965,94.0417
6141.5,47.5866,93.111
6142,47.6123,93.8365
6142.5,47.6492,94.3835
6143,47.5902,94.6606
6143.5,47.6433,95.0127
6144,47.5789,94.6745
6144.5,47.4885,95.2252
6145,47.5207,94.8067
6145.5,47.6121,94.8105
6146,47.6052,94.919
6146.5,47.6148,95.1687
6147,47.613,95.1687
6147.5,47.5166,95.1687
6148,47.0507,95.1687
6148.5,46.9126,95.1687
6149,46.7725,95.1687
6149.5,46.7841,95.1687
6150,46.8518,95.1687
6150.5,46.9309,95.1687
6151,47.0692,95.1687
6151.5,47.3902,95.1687
6152,47.4253,95.1687
6152.5,47.4445,95.1687
6153,47.4431,95.1687
6153.5,47.4527,95.1687
6154,47.4709,95.1687
6154.5,47.4767,95.1687
6155,47.506,95.1687
6155.5,47.5256,95.1687
6156,47.524,95.1687
6156.5,47.5294,95.1687
6157,47.5272,95.1687
6157.5,47.5257,95.1687
6158,47.5222,95.1687
6158.5,47.5307,95.1687
6159,47.5318,95.1687
6159.5,47.5318,95.1687
6160,47.5318,95.1687
6160.5,47.5318,95.1687
6161,47.5318,95.1687
6161.5,47.5318,95.1687
6162,47.5318,95.1687
6162.5,47.5318,95.1687
6163,47.5318,95.1687
6163.5,47.5318,95.1687
6164,47.5318,95.1687
6164.5,47.5318,95.1687
6165,47.5318,95.1687
6165.5,47.5318,95.1687
6166,47.5318,95.1687
6166.5,47.5318,95.1687
6167,47.5318,95.1687
6167.5,47.5318,95.1687
6168,47.5318,95.1687
6168.5,47.5318,95.1687
6169,47.5318,95.1687
6169.5,47.5318,95.1687
6170,47.5318,95.1687
6170.5,47.5318,95.1687
6171,47.5318,95.1687
6171.5,47.5318,95.1687
6172,47.5318,95.1687
6172.5,47.5318,95.1687
6173,47.5318,95.1687
6173.5,47.5318,95.1687
6174,47.5318,95.1687
6174.5,47.5318,95.1687
6175,47.5318,95.1687
6175.5,47.5318,95.1687
6176,47.5318,95.1687
6176.5,47.5318,95.1687
6177,47.5318,95.1687
6177.5,47.5318,95.1687
6178,47.5318,95.1687
6178.5,47.5561,95.1687
6179,47.6354,95.1687
6179.5,47.593,95.1687
6180,47.722,95.1687
6180.5,48.3588,95.1687
6181,47.5318,95.1687
6181.5,47.5318,95.1687
6182,47.5318,95.1687
6182.5,47.5318,95.1687
6183,47.5318,95.1687
6183.5,47.5318,95.1687
6184,47.5318,95.1687
6184.5,47.5318,95.1687
6185,47.5318,95.1687
6185.5,47.5318,95.1687
6186,47.5318,95.1687
6186.5,47.5318,95.1687
6187,47.5318,95.1687
6187.5,47.5318,95.1687
6188,47.5318,95.1687
6188.5,47.5318,95.1687
6189,47.5318,95.1687
6189.5,47.5318,95.1687
6190,47.5318,95.1687
6190.5,47.5318,95.1687
6191,47.5318,95.1687
6191.5,47.5318,95.1687
6192,47.5318,95.1687
6192.5,47.5318,95.1687
6193,47.5318,95.1687
6193.5,47.5318,95.1687
6194,47.5318,95.1687
6194.5,47.5318,95.1687
6195,47.5318,95.1687
