depth (ft),DTC (us/ft),DTS (us/ft)
5324.5,55.1297,102.6702
5325,55.7742,100.9126
5325.5,56.7438,107.8844
5326,55.9972,104.2694
5326.5,53.487,104.5225
5327,52.0748,102.373
5327.5,50.1469,99.2535
5328,48.5545,95.1848
5328.5,48.6377,96.6646
5329,48.9484,89.8093
5329.5,49.3241,90.7592
5330,49.428,91.2798
5330.5,48.7469,92.6371
5331,48.5085,92.9345
5331.5,48.5774,90.5898
5332,48.0768,89.8269
5332.5,48.1798,91.2072
5333,48.1006,92.2402
5333.5,48.1084,92.0566
5334,48.2051,91.3452
5334.5,48.1842,90.516
5335,48.0728,92.3992
5335.5,48.1242,93.3747
5336,48.5014,94.1915
5336.5,48.4438,92.4918
5337,48.5081,92.2763
5337.5,48.1163,92.7246
5338,48.4356,92.8061
5338.5,49.6047,91.4015
5339,50.1869,91.0266
5339.5,50.7055,92.4105
5340,51.9433,84.5599
5340.5,53.4957,80.7869
5341,51.9551,159.3488
5341.5,50.1817,137.3345
5342,49.5172,132.3248
5342.5,45.9313,133.099
5343,48.0506,139.1536
5343.5,45.7448,148.6971
5344,47.9083,139.6218
5344.5,48.8231,95.3932
5345,48.4585,101.3594
5345.5,49.8615,97.8863
5346,50.4186,93.1642
5346.5,50.7278,92.2446
5347,50.9367,92.3127
5347.5,51.0115,92.9829
5348,50.9851,93.1543
5348.5,50.8158,91.5932
5349,50.8735,92.098
5349.5,50.817,92.098
5350,50.5385,93.1757
5350.5,50.8482,91.8422
5351,51.3017,89.9197
5351.5,50.7256,91.4169
5352,50.9143,92.8223
5352.5,50.4066,91.9803
5353,50.3185,90.6749
5353.5,51.0893,92.3044
5354,51.2107,92.6473
5354.5,50.7321,91.7086
5355,50.9274,90.1348
5355.5,51.2098,93.4712
5356,51.8518,92.9058
5356.5,51.2256,91.6244
5357,51.2696,93.3893
5357.5,51.8344,93.2081
5358,51.6828,93.9924
5358.5,51.7488,91.4484
5359,51.7016,91.3379
5359.5,51.4771,90.0089
5360,51.3759,90.041
5360.5,51.118,91.6234
5361,50.5601,91.0491
5361.5,51.112,89.2384
5362,50.948,87.5359
5362.5,51.2761,87.4341
5363,51.3625,87.3228
5363.5,51.5891,89.6524
5364,51.2847,87.3635
5364.5,50.9055,86.6847
5365,50.4629,86.4739
5365.5,51.0045,86.799
5366,50.8679,86.7823
5366.5,50.9108,91.2438
5367,50.8403,91.306
5367.5,50.5365,92.2711
5368,51.11,87.9839
5368.5,51.0921,87.9839
5369,51.3023,83.6484
5369.5,51.9783,79.8893
5370,52.5974,75.9233
5370.5,53.0183,112.5527
5371,53.2884,112.5527
5371.5,53.0896,110.8549
5372,52.3,103.6727
5372.5,51.2195,113.3997
5373,53.6161,111.8985
5373.5,59.8298,117.6281
5374,62.4244,121.9815
5374.5,64.199,132.0552
5375,61.9045,149.0003
5375.5,67.0479,142.458
5376,65.9603,135.6051
5376.5,65.9276,127.907
5377,66.3514,136.2595
5377.5,65.9058,128.5166
5378,66.3401,145.625
5378.5,65.5134,138.5756
5379,63.6464,153.3415
5379.5,63.5377,151.3953
5380,64.2923,156.4544
5380.5,63.9258,156.1475
5381,64.8708,157.0473
5381.5,65.5121,158.7773
5382,68.3884,167.5227
5382.5,84.5781,179.9131
5383,86.3991,147.0871
5383.5,85.8714,146.8007
5384,89.4578,150.5589
5384.5,90.3506,151.5526
5385,91.8016,149.7272
5385.5,91.5504,149.7319
5386,92.5806,149.5963
5386.5,93.4827,182.3715
5387,75.4277,187.6569
5387.5,73.6508,181.4849
5388,72.5179,173.3403
5388.5,70.69,168.833
5389,72.0356,170.3922
5389.5,73.5447,157.1182
5390,74.2229,155.96
5390.5,75.4163,155.624
5391,73.2461,145.028
5391.5,71.8052,170.5824
5392,73.6562,168.6604
5392.5,81.4409,173.8796
5393,86.1105,177.722
5393.5,83.5974,167.0017
5394,80.8678,158.1842
5394.5,76.4157,132.7042
5395,74.9194,129.259
5395.5,72.6897,128.8317
5396,73.1095,125.9198
5396.5,72.4691,128.0275
5397,71.947,127.4908
5397.5,71.9042,128.5966
5398,72.2041,132.895
5398.5,72.7336,129.0268
5399,73.0022,129.3578
5399.5,73.8275,133.3466
5400,74.8869,140.1938
5400.5,75.8234,146.1619
5401,76.4405,153.7501
5401.5,77.368,178.9086
5402,78.5044,225.8731
5402.5,78.711,226.0238
5403,79.0874,230.4054
5403.5,79.5166,237.4426
5404,80.0507,238.5789
5404.5,80.6391,241.4301
5405,81.3124,242.0342
5405.5,81.5475,132.996
5406,82.663,114.9887
5406.5,83.2617,119.1944
5407,84.4042,127.204
5407.5,84.7029,248.9905
5408,84.8598,238.7867
5408.5,85.3136,238.7867
5409,85.251,194.127
5409.5,86.6284,191.2715
5410,87.4669,177.8824
5410.5,87.8541,173.8036
5411,88.0822,162.7826
5411.5,87.7029,168.1365
5412,88.1727,161.2065
5412.5,88.1512,166.4035
5413,89.7693,198.3937
5413.5,90.9304,199.7803
5414,91.3369,200.7969
5414.5,91.6697,205.7896
5415,90.0202,202.4254
5415.5,90.0507,197.5922
5416,91.0472,201.6626
5416.5,90.4943,186.1867
5417,84.4214,184.7334
5417.5,77.4479,179.3256
5418,69.2016,172.4582
5418.5,65.9349,151.5427
5419,58.3795,137.8275
5419.5,57.6356,127.7893
5420,62.5456,113.3075
5420.5,61.8832,113.1363
5421,61.4961,113.3643
5421.5,60.9179,113.0218
5422,62.3113,111.5387
5422.5,60.3702,111.4198
5423,60.558,115.1731
5423.5,63.2526,124.579
5424,65.4868,125.2573
5424.5,64.2307,121.9493
5425,61.4997,115.9945
5425.5,60.4416,125.8923
5426,60.5136,120.6036
5426.5,59.6042,125.0871
5427,59.9538,129.7947
5427.5,63.7083,134.3671
5428,65.3583,143.7729
5428.5,65.769,149.7451
5429,65.4738,126.8557
5429.5,66.7077,110.0255
5430,67.9614,122.2822
5430.5,69.3219,116.4138
5431,71.4322,123.3546
5431.5,70.9385,126.1284
5432,71.1152,135.2083
5432.5,70.843,139.1874
5433,71.753,149.1757
5433.5,72.1789,149.4743
5434,72.8354,145.6362
5434.5,73.1403,139.5333
5435,73.3705,150.3239
5435.5,73.313,125.6541
5436,72.9334,127.3828
5436.5,62.9326,141.6577
5437,63.7629,138.2648
5437.5,66.7157,164.4634
5438,65.3602,154.6376
5438.5,66.7179,302.8941
5439,69.4546,297.3261
5439.5,68.6149,291.249
5440,68.2196,292.1178
5440.5,67.8809,295.8957
5441,68.2843,300.1542
5441.5,68.2912,302.4466
5442,67.3688,304.2452
5442.5,67.251,298.9312
5443,70.0591,205.2304
5443.5,69.8767,205.3962
5444,71.3945,205.9821
5444.5,70.6915,177.5813
5445,73.9994,180.7812
5445.5,74.9256,187.0724
5446,75.7632,203.1258
5446.5,74.3923,202.1751
5447,73.8192,190.6472
5447.5,73.1203,195.0907
5448,72.6014,189.4324
5448.5,71.5979,190.0063
5449,73.0759,187.5228
5449.5,66.9338,182.7202
5450,67.6707,177.9177
5450.5,66.6185,171.7278
5451,67.2495,172.1843
5451.5,67.1572,177.0481
5452,66.3504,185.246
5452.5,65.5304,200.647
5453,65.1075,200.4054
5453.5,69.9782,188.5163
5454,70.0871,186.2715
5454.5,68.5988,163.9901
5455,68.5602,171.1815
5455.5,67.7613,166.0168
5456,73.6536,178.6331
5456.5,73.7944,179.0964
5457,74.305,190.4104
5457.5,74.7679,195.2031
5458,77.0321,193.2742
5458.5,74.6609,196.8546
5459,73.332,178.326
5459.5,71.2234,176.9115
5460,67.2602,152.4922
5460.5,62.0339,126.121
5461,57.5968,126.3155
5461.5,57.9421,111.4152
5462,57.4722,104.5707
5462.5,53.4449,101.5131
5463,52.2315,99.2503
5463.5,51.4404,97.7508
5464,51.87,91.9336
5464.5,53.0614,92.2999
5465,53.0863,92.9321
5465.5,52.8844,91.1406
5466,53.6196,91.1077
5466.5,52.7865,92.8417
5467,53.1068,92.1624
5467.5,54.7644,93.7524
5468,54.1876,94.3594
5468.5,55.4597,95.3052
5469,54.0097,96.3777
5469.5,54.8617,94.4457
5470,54.6807,93.6112
5470.5,53.2602,94.3211
5471,57.0611,95.1993
5471.5,56.7459,95.6354
5472,56.7424,95.2861
5472.5,57.9935,95.5891
5473,57.0068,96.4154
5473.5,56.944,96.4154
5474,56.3082,99.7086
5474.5,56.2865,97.9767
5475,57.185,91.4077
5475.5,57.4844,97.3351
5476,59.5403,102.4976
5476.5,59.8338,100.9357
5477,59.9288,102.7604
5477.5,60.056,102.7688
5478,59.659,103.2545
5478.5,60.1081,102.8727
5479,60.5675,102.2197
5479.5,60.9711,110.8791
5480,62.6452,112.5772
5480.5,64.033,113.2285
5481,63.867,110.6721
5481.5,63.1638,110.0536
5482,62.5395,111.2463
5482.5,61.5935,113.0223
5483,61.2176,111.647
5483.5,60.7856,109.8839
5484,62.0596,110.5698
5484.5,63.5629,111.4213
5485,65.1789,111.4469
5485.5,65.4044,111.1548
5486,66.0548,102.652
5486.5,65.7135,98.7684
5487,65.6764,101.5914
5487.5,65.8018,103.3219
5488,65.735,110.6995
5488.5,67.3576,113.7777
5489,68.8173,115.5994
5489.5,69.074,127.5464
5490,70.0142,153.938
5490.5,69.2743,157.7508
5491,69.8396,161.5636
5491.5,68.135,168.8307
5492,67.9581,190.2
5492.5,67.3796,180.4809
5493,68.5129,174.987
5493.5,69.7783,169.8538
5494,73.6168,170.77
5494.5,74.6759,163.575
5495,79.05,157.6303
5495.5,79.1641,160.2545
5496,78.5598,160.3832
5496.5,79.7266,167.8668
5497,78.5556,175.4291
5497.5,77.8583,158.9951
5498,77.9818,157.3408
5498.5,78.4681,152.6486
5499,78.5173,147.6541
5499.5,78.4246,137.8489
5500,79.7678,139.2518
5500.5,78.8126,126.8768
5501,73.3118,177.3346
5501.5,74.0687,172.7227
5502,83.2646,182.017
5502.5,87.5229,199.0407
5503,93.923,205.8345
5503.5,80.2153,199.1198
