Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
7340	40434	0.142037037	40434	0.142037037	0.407	-05:00	-276.2	4487.12	5825.67	-2.73	2.12	20140914t082432_216750z
7341	40434	0.14380787	40434	0.14380787	0.35	-05:00	-276.21	4462.09	5702.88	-3.18	2.6	20140914t082705_154750z
7342	40434	0.143831019	40434	0.143831019	0.267	-05:00	-58.72	4412.1	5565.96	-2.79	1.14	20140914t082707_069500z
7343	40434	0.144386574	40434	0.144386574	0.102	-05:00	-187.29	4437.09	5698.61	-2.51	1.03	20140914t082755_888750z
7344	40434	0.144537037	40434	0.144537037	0.102	-05:00	-101.21	4362.1	5811.42	-2.75	0.48	20140914t082808_767000z
7345	40434	0.145115741	40434	0.145115741	0.999	-05:00	-73.77	4462.1	5550.26	-2.75	0.99	20140914t082858_802000z
7346	40434	0.145810185	40434	0.145810185	0.545	-05:00	-333.91	4426.9	5764.83	-2.92	2.12	20140914t082958_345750z
7347	40434	0.146678241	40434	0.146678241	0.92	-05:00	73.79	4456.24	5800.57	-2.8	1.34	20140914t083113_692750z
7348	40434	0.147303241	40434	0.147303241	0.347	-05:00	-207.13	4437.09	5696.38	-2.82	1.81	20140914t083207_153250z
7349	40434	0.148275463	40434	0.148275463	0.264	-05:00	-55.39	4387.1	5785.97	-2.76	1.05	20140914t083331_056000z
7350	40434	0.148414352	40434	0.148414352	0.32	-05:00	2555.44	4062.32	5851.85	-2.19	0.57	20140914t083343_327000z
7351	40434	0.149224537	40434	0.149224537	0.277	-05:00	-348.61	4437.1	5664.52	-3.29	2.49	20140914t083453_092250z
7352	40434	0.149733796	40434	0.149733796	0.006	-05:00	73.8	4412.1	5815.54	-3	1.33	20140914t083537_797750z
7353	40434	0.149918981	40434	0.149918981	0.712	-05:00	-397.16	4462.11	5666.67	-2.75	0.69	20140914t083553_538000z
7354	40434	0.150115741	40434	0.150115741	0.37	-05:00	73.8	4427.61	5807.06	-2.84	1.98	20140914t083610_137250z
7355	40434	0.150844907	40434	0.150844907	0.582	-05:00	-100.2	4462.11	5551.63	-2.86	1.1	20140914t083713_385750z
7356	40434	0.151041667	40434	0.151041667	0.281	-05:00	34.45	4413.65	5802.78	-3.14	1.3	20140914t083730_081750z
7357	40434	0.15162037	40434	0.15162037	0.63	-05:00	2653.67	4937.21	5872.77	-2.29	1.87	20140914t083820_554750z
7358	40434	0.151712963	40434	0.151712963	0.736	-05:00	148.79	4312.1	5772.72	-2.83	3.04	20140914t083828_534750z
7359	40434	0.152534722	40434	0.152534722	0.837	-05:00	73.8	4387.11	5821.89	-2.87	2.15	20140914t083939_600750z
7360	40434	0.152858796	40434	0.152858796	0.247	-05:00	-94.27	4401.43	5544.89	-2.61	0.99	20140914t084007_017750z
7361	40434	0.154155093	40434	0.154155093	0.804	-05:00	2729.57	4312.97	5832.85	-1.96	2.31	20140914t084159_722000z
7362	40434	0.155451389	40434	0.155451389	0.774	-05:00	213.07	4437.11	5781.9	-2.76	2.33	20140914t084351_575000z
7363	40434	0.156539352	40434	0.156539352	0.031	-05:00	-19.81	4447.02	5790.64	-3.5	2.64	20140914t084525_813000z
7364	40434	0.157372685	40434	0.157372685	0.066	-05:00	2523.81	3947.04	5860.52	-2.1	1.97	20140914t084637_957000z
7365	40434	0.15775463	40434	0.15775463	0.964	-05:00	73.79	4437.11	5835.37	-2.8	1.35	20140914t084710_751250z
7366	40434	0.1584375	40434	0.1584375	0.504	-05:00	4.19	4412.1	5789.28	-3.06	2.92	20140914t084809_270000z
7367	40434	0.160011574	40434	0.160011574	0.84	-05:00	-60.63	4387.1	5789.61	-2.96	1.21	20140914t085025_621750z
7368	40434	0.160474537	40434	0.160474537	0.853	-05:00	-335.14	4462.11	5721.63	-3.21	2.09	20140914t085105_668250z
7369	40434	0.160590278	40434	0.160590278	0.972	-05:00	2017.91	4244.43	5900.22	-1.85	2.19	20140914t085115_832500z
7370	40434	0.161458333	40434	0.161458333	0.399	-05:00	2628.29	4086.44	5883.93	-2.45	2.38	20140914t085230_294250z
7371	40434	0.161527778	40434	0.161527778	0.288	-05:00	2317.96	4063.77	5830.17	-2.27	2.07	20140914t085236_298500z
7372	40434	0.16162037	40434	0.16162037	0.493	-05:00	2604.41	4111.07	5880.07	-1.5	3.31	20140914t085244_375500z
7373	40434	0.161921296	40434	0.161921296	0.46	-05:00	2196.21	4317.87	5935.33	-2.54	1.23	20140914t085310_448000z
7374	40434	0.162766204	40434	0.162766204	0.993	-05:00	166.68	4344.63	5530.83	-3	2.36	20140914t085423_761250z
7375	40434	0.164212963	40434	0.164212963	0.663	-05:00	2423.82	3677.04	5858.75	-2.06	1.8	20140914t085628_514000z
7376	40434	0.165104167	40434	0.165104167	0.086	-05:00	2890.75	3594.22	5864.42	-2.14	1.87	20140914t085745_953500z
7377	40434	0.165590278	40434	0.165590278	0.143	-05:00	2777	3832.29	5848.69	-2.22	1.69	20140914t085827_018500z
7378	40434	0.166018519	40434	0.166018519	0.872	-05:00	2219.73	4066.27	5879.37	-1.92	1.81	20140914t085904_859250z
7379	40434	0.166643519	40434	0.166643519	0.308	-05:00	2781.87	3970.21	5830.52	-2.25	2.53	20140914t085958_308000z
7380	40434	0.167118056	40434	0.167118056	0.544	-05:00	-242.64	4462.11	5695.7	-2.89	1.58	20140914t090039_366250z
7381	40434	0.17005787	40434	0.17005787	0.445	-05:00	48.79	4412.1	5779.31	-3.19	2.03	20140914t090453_216000z
7382	40434	0.170231481	40434	0.170231481	0.77	-05:00	222.16	4316.01	5793.3	-2.76	2.19	20140914t090508_576250z
7383	40434	0.170347222	40434	0.170347222	0.316	-05:00	48.79	4460.63	5780.46	-3.27	2.39	20140914t090518_079500z
7384	40434	0.171006944	40434	0.171006944	0.108	-05:00	-342.85	4487.1	5684.37	-2.68	1.97	20140914t090615_926500z
7385	40434	0.171377315	40434	0.171377315	0.008	-05:00	-176.42	4386.01	5716.78	-3.42	2.99	20140914t090647_786000z
7386	40434	0.171724537	40434	0.171724537	0.44	-05:00	1846.03	4213.08	5901.4	-2.17	3.44	20140914t090717_331000z
7387	40434	0.172291667	40434	0.172291667	0.415	-05:00	1889.69	4219.81	5894.62	-2.09	2.37	20140914t090806_321500z
7388	40434	0.17244213	40434	0.17244213	0.85	-05:00	2019.17	4315.33	5897.2	-2.47	1.88	20140914t090819_760000z
7389	40434	0.172511574	40434	0.172511574	0.068	-05:00	23.8	4473.75	5570.02	-2.57	3.54	20140914t090825_866500z
7390	40434	0.173287037	40434	0.173287037	0.089	-05:00	202.88	4437.09	5710.45	-2.96	2.63	20140914t090932_856250z
7391	40434	0.175891204	40434	0.175891204	0.442	-05:00	73.8	4412.1	5811.07	-3.42	1.97	20140914t091317_238250z
7392	40434	0.176574074	40434	0.176574074	0.074	-05:00	-76.21	4487.11	5614.83	-2.82	1.03	20140914t091416_860750z
7393	40434	0.177939815	40434	0.177939815	0.764	-05:00	-11.35	4420.11	5824.64	-3.5	2.51	20140914t091614_565000z
7394	40434	0.178252315	40434	0.178252315	0.654	-05:00	246.56	4462.09	5762.63	-3.25	3.43	20140914t091641_424000z
7395	40434	0.180520833	40434	0.180520833	0.406	-05:00	-70.39	4388.22	5799.99	-3.48	1.99	20140914t091957_179500z
7396	40434	0.180578704	40434	0.180578704	0.998	-05:00	-26.21	4486.39	5574.86	-2.67	1.75	20140914t092002_769250z
7397	40434	0.180902778	40434	0.180902778	0.586	-05:00	2054.53	4458.8	5868.83	-2.27	1.86	20140914t092030_478750z
7398	40434	0.182731481	40434	0.182731481	0.984	-05:00	23.8	4446.82	5769.44	-3.36	3.3	20140914t092308_741500z
7399	40434	0.182951389	40434	0.182951389	0.025	-05:00	2314.04	4188.2	5819.59	-2.18	2.99	20140914t092327_894250z
7400	40434	0.18337963	40434	0.18337963	0.843	-05:00	2448.43	3682.27	5982.81	-2.31	1.49	20140914t092404_884250z
7401	40434	0.183587963	40434	0.183587963	0.584	-05:00	2227.4	3959.81	5927.83	-2.27	1.05	20140914t092422_418250z
7402	40434	0.184074074	40434	0.184074074	0.471	-05:00	1924.79	4213.14	5887.3	-1.75	2.1	20140914t092504_382000z
7403	40434	0.185416667	40434	0.185416667	0.733	-05:00	1928.1	4230.39	5899.31	-2	3.28	20140914t092700_615000z
7404	40434	0.185509259	40434	0.185509259	0.822	-05:00	2993.33	4372.2	6021.31	-2.36	2.18	20140914t092708_795250z
7405	40434	0.186041667	40434	0.186041667	0.481	-05:00	3080.78	4388.03	5767.44	-1.69	2.9	20140914t092754_405250z
7406	40434	0.187604167	40434	0.187604167	0.566	-05:00	2762.98	3988.86	5901.73	-1.95	1.97	20140914t093009_484000z
7407	40434	0.188032407	40434	0.188032407	0.119	-05:00	10.03	4379.37	5830.07	-2.56	2.2	20140914t093046_871750z
7408	40434	0.189027778	40434	0.189027778	0.653	-05:00	120.03	4412.1	5818.88	-2.78	1.45	20140914t093212_422250z
7409	40434	0.189155093	40434	0.189155093	0.674	-05:00	2878.37	3992.6	5907.86	-1.93	2.35	20140914t093223_565000z
7410	40434	0.190185185	40434	0.190185185	0.08	-05:00	2864.79	4072.88	5878.34	-2.3	2.31	20140914t093352_990000z
