Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
4454	40425	0.828125	40425	0.828125	0.202	-05:00	352.64	4744.28	5655.9	-2.9	1.89	20140906t005230_003250z
4455	40425	0.828564815	40425	0.828564815	0.47	-05:00	48.75	4795.88	5492.42	-2.7	1.19	20140906t005308_273250z
4456	40425	0.828668981	40425	0.828668981	0.202	-05:00	548.73	4923.66	5851.23	-2.53	1.99	20140906t005317_035750z
4457	40425	0.828935185	40425	0.828935185	0.76	-05:00	602.82	4585.62	5706.17	-2.88	1.38	20140906t005340_589250z
4458	40425	0.828958333	40425	0.828958333	0.684	-05:00	612.83	4782.09	5782	-2.78	1.54	20140906t005342_514500z
4459	40425	0.828993056	40425	0.828993056	0.348	-05:00	708.76	4782.08	5863.15	-2.71	1.73	20140906t005345_215500z
4460	40425	0.829097222	40425	0.829097222	0.708	-05:00	376.18	4642.54	5492.14	-2.03	3.16	20140906t005354_509500z
4461	40425	0.829375	40425	0.829375	0.764	-05:00	1064.3	4572.04	5767.27	-1.87	1.36	20140906t005418_765250z
4462	40425	0.829988426	40425	0.829988426	0.167	-05:00	584.66	4981.86	5879.21	-2.66	1.07	20140906t005511_993500z
4463	40425	0.830590278	40425	0.830590278	0.881	-05:00	1376.03	4362.1	5905.32	-2.13	2.17	20140906t005603_581000z
4464	40425	0.830856481	40425	0.830856481	0.331	-05:00	263.87	4522.09	5769.28	-2.82	3.21	20140906t005626_105750z
4465	40425	0.831145833	40425	0.831145833	0.25	-05:00	548.78	4662.07	5611.54	-2.92	1.53	20140906t005651_057750z
4466	40425	0.8321875	40425	0.8321875	0.221	-05:00	253.76	4814.65	5669	-2.86	1.39	20140906t005821_850500z
4467	40425	0.832233796	40425	0.832233796	0.816	-05:00	608.72	4722.14	5496.7	-2.3	3.53	20140906t005825_607250z
4468	40425	0.832731481	40425	0.832731481	0.853	-05:00	168.75	4422.11	5688.7	-2.92	0.5	20140906t005908_671500z
4469	40425	0.833032407	40425	0.833032407	0.241	-05:00	1288.75	4752.11	5849	-2.31	3.27	20140906t005934_111000z
4470	40425	0.833125	40425	0.833125	0.22	-05:00	219.24	4777.8	5740.15	-2.88	1	20140906t005942_022500z
4471	40425	0.833310185	40425	0.833310185	0.243	-05:00	532.28	4622.12	5748.05	-2.78	1.31	20140906t005958_051000z
4472	40425	0.834282407	40425	0.834282407	0.421	-05:00	433.35	4685.5	5784.12	-2.67	0.81	20140906t010122_253750z
4473	40425	0.834733796	40425	0.834733796	0.47	-05:00	426.7	4656.11	5555.73	-2.83	1.7	20140906t010201_287000z
4474	40425	0.83494213	40425	0.83494213	0.027	-05:00	409.31	4602.1	5644.95	-2.91	1.13	20140906t010219_822750z
4475	40425	0.835150463	40425	0.835150463	0.12	-05:00	988.77	4672.07	5789	-2.61	1.2	20140906t010237_895000z
4476	40425	0.835613426	40425	0.835613426	0.52	-05:00	348.76	4572.09	5703.83	-2.97	1.14	20140906t010317_310750z
4477	40425	0.835659722	40425	0.835659722	0.232	-05:00	408.78	4702.08	5411.07	-2.36	2.68	20140906t010321_020500z
4478	40425	0.83568287	40425	0.83568287	0.014	-05:00	191.52	4657.42	5480.9	-2.75	3.21	20140906t010323_791250z
4479	40425	0.835717593	40425	0.835717593	0.337	-05:00	1268.76	4652.07	5869	-2.21	3.45	20140906t010326_200500z
4480	40425	0.836064815	40425	0.836064815	0.781	-05:00	1108.77	4712.05	5769	-2.45	1.17	20140906t010356_659000z
4481	40425	0.83619213	40425	0.83619213	0.953	-05:00	588.75	4622.1	5774.18	-2.9	1.47	20140906t010407_772750z
4482	40425	0.836388889	40425	0.836388889	0.181	-05:00	368.75	4742.1	5624.97	-2.95	2.24	20140906t010424_975250z
4483	40425	0.83724537	40425	0.83724537	0.446	-05:00	338.92	4652.27	5746.94	-2.95	1.39	20140906t010538_257250z
